# Reparto a mano de las preguntas del bloque específico de Producción (Asistencia)
# entre los 18 temas del Anexo 2. Una fila por pregunta clasificada; lo que no
# tiene fila todavía no se ha repartido, y el generador lo cuenta.
#
# origen  = nombre del cuadernillo, sin extensión
# nº      = número de la pregunta dentro del cuadernillo
# tema    = número del tema del temario específico (dos dígitos)
# motivo  = por qué va ahí; el artículo o la rúbrica que la contesta
origen	nº	tema	motivo
78_preguntas_produccion_asist_2_llamamiento	11	09	Temperatura de color: las luces cálidas tienen temperatura baja
78_preguntas_produccion_asist_2_llamamiento	18	09	Función de la luz estroboscópica
78_preguntas_produccion_asist_2_llamamiento	20	09	Utilería: mobiliario y enseres de la puesta en escena
78_preguntas_produccion_asist_2_llamamiento	22	09	Alzado: visión lateral a escala del decorado
78_preguntas_produccion_asist_2_llamamiento	30	09	Sistema Mo-sys para realidad aumentada en plató
78_preguntas_produccion_asist_2_llamamiento	39	09	Star Tracker: sensor en cámara apuntando al techo
78_preguntas_produccion_asist_2_llamamiento	40	09	Cuándo un practicable necesita toma de tierra
78_preguntas_produccion_asist_2_llamamiento	41	09	Banner en un practicable
78_preguntas_produccion_asist_2_llamamiento	58	09	El flujo luminoso se mide en lúmenes
78_preguntas_produccion_asist_2_llamamiento	71	09	Limbo: escenografía que no informa del lugar
78_preguntas_produccion_asist_2_llamamiento	85	09	Dimmer: regulador de intensidad de luz
77_preguntas_produccion_asist	9	10	Distancia focal y profundidad de campo
77_preguntas_produccion_asist	10	10	Eco: rebote del sonido en una superficie
77_preguntas_produccion_asist	57	10	Patrón polar bidireccional
77_preguntas_produccion_asist	62	10	Trémolo: variación periódica de la intensidad
77_preguntas_produccion_asist	71	10	El micrófono omnidireccional recoge en 360 grados
77_preguntas_produccion_asist	74	10	Luminancia: la señal en blanco y negro
77_preguntas_produccion_asist	75	10	MADI, estándar AES de audio digital multicanal
77_preguntas_produccion_asist	83	10	Longitud de onda larga y tono grave
78_preguntas_produccion_asist_2_llamamiento	19	10	Muestreo al doble de la frecuencia máxima
78_preguntas_produccion_asist_2_llamamiento	25	10	La impedancia se mide en ohmios
78_preguntas_produccion_asist_2_llamamiento	38	10	Nomenclatura 4:2:2 de la norma CCIR 601
78_preguntas_produccion_asist_2_llamamiento	42	10	Muestreo reticular ortogonal de la recomendación UIT-R BT.2100-1
78_preguntas_produccion_asist_2_llamamiento	45	10	N-1: retorno de audio y vídeo al reportero en exteriores
78_preguntas_produccion_asist_2_llamamiento	48	10	Micrófono dinámico: versátil y duradero
78_preguntas_produccion_asist_2_llamamiento	52	10	Caída de 60 dB para medir el tiempo de reverberación
78_preguntas_produccion_asist_2_llamamiento	64	10	El vectorscopio mide el componente de color
78_preguntas_produccion_asist_2_llamamiento	89	10	El vectorscopio comprueba y ajusta la crominancia
77_preguntas_produccion_asist	7	11	Qué es el streaming
77_preguntas_produccion_asist	34	11	Datos imprescindibles para acceder a una señal por satélite
77_preguntas_produccion_asist	36	11	SMPTE 2110-40: datos auxiliares embebidos
77_preguntas_produccion_asist	41	11	Caudal máximo de la mochila LU300S
77_preguntas_produccion_asist	49	11	FTTH: Fiber To The Home
77_preguntas_produccion_asist	73	11	Qué limita el ancho de banda
77_preguntas_produccion_asist	84	11	Órbita geoestacionaria: la afirmación falsa es el periodo de 48 horas
78_preguntas_produccion_asist_2_llamamiento	23	11	DSNG: Digital Satellite News Gathering
78_preguntas_produccion_asist_2_llamamiento	28	11	Señal Pool
78_preguntas_produccion_asist_2_llamamiento	91	11	DVB: especificación europea de emisión digital
77_preguntas_produccion_asist	8	12	El control central y sus funciones
77_preguntas_produccion_asist	12	12	El control de imagen: colorimetría y fotometría. Es puesto y a la vez sala; se reparte aquí con el resto de controles
77_preguntas_produccion_asist	17	12	Teleprompter frente a autocue
77_preguntas_produccion_asist	38	12	La matriz de conmutación está en el central técnico
78_preguntas_produccion_asist_2_llamamiento	50	12	Numeración de las cámaras en plató
78_preguntas_produccion_asist_2_llamamiento	59	12	Máquina de emisión de vídeos en un informativo
77_preguntas_produccion_asist	22	13	Beauty shot: cámara fija sin operador en un evento
77_preguntas_produccion_asist	24	13	TV Compound
77_preguntas_produccion_asist	45	13	Mobycam: cámara de seguimiento submarino
77_preguntas_produccion_asist	58	13	Mojo: periodismo móvil en exteriores
78_preguntas_produccion_asist_2_llamamiento	35	13	Compatibilidad de cámaras Sony con el estabilizador DJI RS 4 Pro
78_preguntas_produccion_asist_2_llamamiento	90	13	Registro de operadores de UAS
78_preguntas_produccion_asist_2_llamamiento	95	13	Zona LED de espacio aéreo y vuelo de dron
77_preguntas_produccion_asist	15	14	En qué territorio hace falta el cuaderno ATA
77_preguntas_produccion_asist	55	14	Qué es el cuaderno ATA, para qué sirve y su validez
77_preguntas_produccion_asist	68	14	MCO, Miscellaneous Charge Order
78_preguntas_produccion_asist_2_llamamiento	5	14	Definición del cuaderno ATA
78_preguntas_produccion_asist_2_llamamiento	13	14	Quién emite el cuaderno ATA
78_preguntas_produccion_asist_2_llamamiento	44	14	Tarjeta de prensa para informar desde Israel
77_preguntas_produccion_asist	43	15	Sede central de la EBU
77_preguntas_produccion_asist	81	15	UTECA, televisiones comerciales en abierto
77_preguntas_produccion_asist	82	15	Euroradio y los vídeos de conciertos y óperas de la UER
78_preguntas_produccion_asist_2_llamamiento	33	15	Asociación internacional de televisiones comerciales a la que RTVE no pertenece
78_preguntas_produccion_asist_2_llamamiento	73	15	Periodicidad de la tasa de los miembros activos de la UER
78_preguntas_produccion_asist_2_llamamiento	87	15	FORTA: televisiones y radios públicas autonómicas
77_preguntas_produccion_asist	47	16	Agencia de noticias especializada en deportes
77_preguntas_produccion_asist	94	16	Cuál de las agencias de noticias no es española
77_preguntas_produccion_asist	26	16	Semoviente: animal en escena, que se contrata a un proveedor
