SKU,Name,Type,Published,Visibility in catalog,Short description,Description,Tax status,In stock?,Regular price,Categories,Virtual,Downloadable,Meta:_toac_slug,Meta:_toac_actualizado,Meta:_toac_paginas,Meta:_toac_temas,Meta:_toac_preguntas,Meta:_toac_puestos
TOAC-INFORMACION,Temario específico · Información y Contenidos,simple,1,visible,11 temas · 217 páginas · 226 preguntas reales de examen,"<p>Temario específico de <strong>Información y Contenidos</strong> para las oposiciones de RTVE, con los 11 temas del programa oficial (ANEXO 2 de las bases), en 217 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>11 temas desarrollados y 11 esquemas de repaso.</li><li>226 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>38 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/informacion/"">ver la muestra</a>.</p>",taxable,1,54.00,Temarios específicos,1,0,informacion,2026-09-05,217,11,226,38
TOAC-ING-SUP-TELECO,Temario específico · Ing. Superior Telecomunicación,simple,1,visible,27 temas · 337 páginas · 134 preguntas reales de examen,"<p>Temario específico de <strong>Ing. Superior Telecomunicación</strong> para las oposiciones de RTVE, con los 27 temas del programa oficial (ANEXO 2 de las bases), en 337 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>27 temas desarrollados y 27 esquemas de repaso.</li><li>134 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>4 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/ing-sup-teleco/"">ver la muestra</a>.</p>",taxable,1,64.00,Temarios específicos,1,0,ing-sup-teleco,2026-09-04,337,27,134,4
TOAC-ING-TEC-INDUSTRIAL,Temario específico · Ing. Técnica Industrial,simple,1,visible,17 temas · 266 páginas · 48 preguntas reales de examen,"<p>Temario específico de <strong>Ing. Técnica Industrial</strong> para las oposiciones de RTVE, con los 17 temas del programa oficial (ANEXO 2 de las bases), en 266 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>17 temas desarrollados y 17 esquemas de repaso.</li><li>48 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>6 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/ing-tec-industrial/"">ver la muestra</a>.</p>",taxable,1,64.00,Temarios específicos,1,0,ing-tec-industrial,2026-09-04,266,17,48,6
TOAC-ING-TEC-TELECO,Temario específico · Ing. Técnica Telecomunicación,simple,1,visible,20 temas · 261 páginas · 133 preguntas reales de examen,"<p>Temario específico de <strong>Ing. Técnica Telecomunicación</strong> para las oposiciones de RTVE, con los 20 temas del programa oficial (ANEXO 2 de las bases), en 261 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>20 temas desarrollados y 20 esquemas de repaso.</li><li>133 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>5 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/ing-tec-teleco/"">ver la muestra</a>.</p>",taxable,1,64.00,Temarios específicos,1,0,ing-tec-teleco,2026-09-04,261,20,133,5
TOAC-MEDICINA,Temario específico · Medicina de Empresa,simple,1,visible,33 temas · 578 páginas · sin preguntas de examen,"<p>Temario específico de <strong>Medicina de Empresa</strong> para las oposiciones de RTVE, con los 33 temas del programa oficial (ANEXO 2 de las bases), en 578 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>33 temas desarrollados y 33 esquemas de repaso.</li><li>3 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/medicina/"">ver la muestra</a>.</p>",taxable,1,64.00,Temarios específicos,1,0,medicina,2026-09-04,578,33,,3
TOAC-MONTAJE-EQUIPOS,Temario específico · Montaje de Equipos Audiovisuales,simple,1,visible,11 temas · 166 páginas · 123 preguntas reales de examen,"<p>Temario específico de <strong>Montaje de Equipos Audiovisuales</strong> para las oposiciones de RTVE, con los 11 temas del programa oficial (ANEXO 2 de las bases), en 166 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>11 temas desarrollados y 11 esquemas de repaso.</li><li>123 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>10 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/montaje-equipos/"">ver la muestra</a>.</p>",taxable,1,44.00,Temarios específicos,1,0,montaje-equipos,2026-09-04,166,11,123,10
TOAC-PRODUCCION-ASISTENCIA,Temario específico · Producción (Asistencia),simple,1,visible,18 temas · 281 páginas · 171 preguntas reales de examen,"<p>Temario específico de <strong>Producción (Asistencia)</strong> para las oposiciones de RTVE, con los 18 temas del programa oficial (ANEXO 2 de las bases), en 281 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>18 temas desarrollados y 18 esquemas de repaso.</li><li>171 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>63 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/produccion-asistencia/"">ver la muestra</a>.</p>",taxable,1,64.00,Temarios específicos,1,0,produccion-asistencia,2026-09-04,281,18,171,63
TOAC-PRODUCCION,Temario específico · Producción,simple,1,visible,17 temas · 235 páginas · 114 preguntas reales de examen,"<p>Temario específico de <strong>Producción</strong> para las oposiciones de RTVE, con los 17 temas del programa oficial (ANEXO 2 de las bases), en 235 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>17 temas desarrollados y 17 esquemas de repaso.</li><li>114 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>28 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/produccion/"">ver la muestra</a>.</p>",taxable,1,54.00,Temarios específicos,1,0,produccion,2026-09-04,235,17,114,28
TOAC-PROFESOR-ORQUESTA,Temario específico · Profesor de Orquesta,simple,1,visible,11 temas · 144 páginas · 134 preguntas reales de examen,"<p>Temario específico de <strong>Profesor de Orquesta</strong> para las oposiciones de RTVE, con los 11 temas del programa oficial (ANEXO 2 de las bases), en 144 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>11 temas desarrollados y 11 esquemas de repaso.</li><li>134 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>4 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/profesor-orquesta/"">ver la muestra</a>.</p>",taxable,1,44.00,Temarios específicos,1,0,profesor-orquesta,2026-09-04,144,11,134,4
TOAC-REALIZACION-TV,Temario específico · Realización Televisión,simple,1,visible,23 temas · 365 páginas · 277 preguntas reales de examen,"<p>Temario específico de <strong>Realización Televisión</strong> para las oposiciones de RTVE, con los 23 temas del programa oficial (ANEXO 2 de las bases), en 365 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>23 temas desarrollados y 23 esquemas de repaso.</li><li>277 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>26 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/realizacion-tv/"">ver la muestra</a>.</p>",taxable,1,64.00,Temarios específicos,1,0,realizacion-tv,2026-09-04,365,23,277,26
TOAC-REALIZACION,Temario específico · Realización (Asistencia),simple,1,visible,21 temas · 304 páginas · 254 preguntas reales de examen,"<p>Temario específico de <strong>Realización (Asistencia)</strong> para las oposiciones de RTVE, con los 21 temas del programa oficial (ANEXO 2 de las bases), en 304 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>21 temas desarrollados y 21 esquemas de repaso.</li><li>254 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>75 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/realizacion/"">ver la muestra</a>.</p>",taxable,1,64.00,Temarios específicos,1,0,realizacion,2026-09-04,304,21,254,75
TOAC-SONIDO,Temario específico · Sonido,simple,1,visible,18 temas · 207 páginas · 134 preguntas reales de examen,"<p>Temario específico de <strong>Sonido</strong> para las oposiciones de RTVE, con los 18 temas del programa oficial (ANEXO 2 de las bases), en 207 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>18 temas desarrollados y 18 esquemas de repaso.</li><li>134 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>68 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/sonido/"">ver la muestra</a>.</p>",taxable,1,54.00,Temarios específicos,1,0,sonido,2026-09-04,207,18,134,68
TOAC-TECNICA-INFORMATICA,Temario específico · Técnica Informática,simple,1,visible,24 temas · 256 páginas · 138 preguntas reales de examen,"<p>Temario específico de <strong>Técnica Informática</strong> para las oposiciones de RTVE, con los 24 temas del programa oficial (ANEXO 2 de las bases), en 256 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>24 temas desarrollados y 24 esquemas de repaso.</li><li>138 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>28 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/tecnica-informatica/"">ver la muestra</a>.</p>",taxable,1,54.00,Temarios específicos,1,0,tecnica-informatica,2026-09-04,256,24,138,28
TOAC-TEITSE,"Temario específico · Téc. Equipos, Instalaciones y Sistemas Eléctricos",simple,1,visible,16 temas · 237 páginas · 48 preguntas reales de examen,"<p>Temario específico de <strong>Téc. Equipos, Instalaciones y Sistemas Eléctricos</strong> para las oposiciones de RTVE, con los 16 temas del programa oficial (ANEXO 2 de las bases), en 237 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>16 temas desarrollados y 16 esquemas de repaso.</li><li>48 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>5 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/teitse/"">ver la muestra</a>.</p>",taxable,1,54.00,Temarios específicos,1,0,teitse,2026-09-04,237,16,48,5
TOAC-TESE,Temario específico · Técnica de Equipos y Sistemas Electrónicos,simple,1,visible,18 temas · 231 páginas · 162 preguntas reales de examen,"<p>Temario específico de <strong>Técnica de Equipos y Sistemas Electrónicos</strong> para las oposiciones de RTVE, con los 18 temas del programa oficial (ANEXO 2 de las bases), en 231 páginas.</p><p>Cada dato se ha leído en su fuente oficial antes de escribirlo: la legislación, en el texto consolidado del BOE, con la redacción vigente a la fecha de corte de la convocatoria. Lo que no se ha podido confirmar, no está.</p><ul><li>18 temas desarrollados y 18 esquemas de repaso.</li><li>162 preguntas reales de convocatorias anteriores, con su respuesta oficial.</li><li>147 plazas de esta ocupación en la última convocatoria.</li><li>PDF con índice navegable. Actualizaciones incluidas.</li></ul><p>Puedes ver el índice completo y las primeras páginas antes de comprar: <a href=""https://temarios.example/muestra/tese/"">ver la muestra</a>.</p>",taxable,1,54.00,Temarios específicos,1,0,tese,2026-09-04,231,18,162,147
